date,n,complete,kappa_median_m,kappa_q25_m,kappa_q75_m
2019-04-26,96,1,5.646791,5.644861,5.648674
2019-04-27,96,1,5.647447,5.645503,5.649422
2019-04-28,96,1,5.646289,5.643892,5.649651
2019-04-29,96,1,5.648033,5.645343,5.650136
2019-04-30,96,1,5.647044,5.646312,5.648938
2019-05-01,96,1,5.647537,5.645603,5.649296
2019-05-02,96,1,5.648449,5.645984,5.649674
2019-05-03,96,1,5.648303,5.646465,5.649121
2019-05-04,96,1,5.647621,5.645545,5.649230
2019-05-05,96,1,5.645715,5.643944,5.651380
2019-05-06,96,1,5.646535,5.644697,5.648265
2019-05-07,96,1,5.647414,5.644771,5.649667
2019-05-08,96,1,5.647467,5.645471,5.649685
2019-05-09,96,1,5.648986,5.645908,5.650583
2019-05-10,96,1,5.647527,5.646041,5.649269
2019-05-11,96,1,5.646530,5.645365,5.648377
2019-05-12,96,1,5.647322,5.644877,5.648987
2019-05-13,96,1,5.646722,5.644807,5.649524
2019-05-14,96,1,5.647947,5.645878,5.649168
2019-05-15,96,1,5.646431,5.645590,5.647780
2019-05-16,96,1,5.647567,5.646776,5.648828
2019-05-17,96,1,5.647993,5.646216,5.649168
2019-05-18,96,1,5.647277,5.645425,5.649753
2019-05-19,96,1,5.647636,5.644542,5.650412
2019-05-20,96,1,5.647396,5.644676,5.649882
2019-05-21,96,1,5.648069,5.644913,5.649964
2019-05-22,96,1,5.647664,5.645606,5.649155
2019-05-23,96,1,5.648853,5.646714,5.651458
2019-05-24,96,1,5.647846,5.646254,5.649549
2019-05-25,96,1,5.647790,5.646489,5.649509
2019-05-26,96,1,5.647732,5.644857,5.649293
2019-05-27,96,1,5.649989,5.646591,5.652422
2019-05-28,96,1,5.647492,5.645373,5.649540
2019-05-29,96,1,5.648042,5.645771,5.648941
2019-05-30,96,1,5.645853,5.644941,5.648768
2019-05-31,96,1,5.648165,5.646280,5.649753
2019-06-01,96,1,5.647857,5.645965,5.649032
2019-06-02,96,1,5.647847,5.645691,5.649707
2019-06-03,96,1,5.647425,5.645160,5.649024
2019-06-04,96,1,5.647240,5.645772,5.648974
2019-06-05,96,1,5.646543,5.645124,5.648478
2019-06-06,96,1,5.647792,5.646056,5.649266
2019-06-07,96,1,5.647907,5.645456,5.649559
2019-06-08,96,1,5.647138,5.645117,5.649768
2019-06-09,96,1,5.646251,5.645288,5.650118
2019-06-10,96,1,5.647281,5.645567,5.650506
2019-06-11,96,1,5.647894,5.646055,5.649600
2019-06-12,96,1,5.647151,5.645611,5.648615
2019-06-13,96,1,5.648195,5.646132,5.649912
