z0_ft,n,mean_squared_error_log,alpha,beta,gamma_m,free_fraction
1.72000,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.72500,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.73000,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.73500,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.74000,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.74500,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.75000,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.75500,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.76000,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.76500,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.77000,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.77500,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.78000,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.78500,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.79000,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.79500,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.80000,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.80500,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.81000,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.81500,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.82000,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.82500,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.83000,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.83500,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.84000,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.84500,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.85000,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.85500,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.86000,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.86500,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.87000,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.87500,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.88000,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
